,0
teamsize,1.919826049328987
cryptocurrencies_accepted,0.7518663267964518
ERC20_missing,0.7097780167639995
total_restricted_areas,0.4456165246838425
ico_end_month_sin,0.36580472024826255
distributed_in_ico,0.33943502986497476
linkedin_link_flag,0.31395197497805827
github_link_flag,0.2248540007468024
price_usd_converted,0.20227938472721108
days_since_start,0.1744712828609434
has_pre_ico,0.1726389280699315
crash_2018,0.14640114774534174
website_flag,0.13571161935018417
accept_only_BTC_ETH_LTC,0.12983573047267563
ERC20,0.12770924593435984
whitelist_missing,0.11297627854753063
fundraising_duration_days,0.08587755733079495
ico_end_month_cos,0.07512992657612917
link_white_paper_flag,0.05970996437721941
kyc,0.0583410610145168
country,0.042066324125265286
rating,0.041973861916286596
bonus,0.032033686189319927
bull_run_2017,0.022305212844033164
accept_fiat,0.022057483365221002
top_5_countries,0.017718625616001463
ico_year,0.005909962806983963
ico_end_weekday_cos,0.005739892082285549
usa_restricted,0.003580524923544725
mvp,0.0012596208928998818
min_investment_usd_converted,0.00043398058900530096
whitelist,0.00030429790502761354
ico_end_weekday_sin,6.355228900113231e-06
