,0
days_since_start,0.15334928229665074
rating,0.10599926389400072
fundraising_duration_days,0.04177401545822597
price_usd_converted,0.03205741626794256
bonus,0.024254692675745294
teamsize,0.021494295178505672
distributed_in_ico,0.020426941479573045
linkedin_link_flag,0.018200220831799764
min_investment_usd_converted,0.014298859035701128
cryptocurrencies_accepted,0.013507545086492434
ico_end_weekday_sin,0.010452705189547284
total_restricted_areas,0.008796466691203486
top_5_countries,0.00864924549135072
has_pre_ico,0.008317997791681974
ico_end_month_cos,0.007397865292602113
ico_end_month_sin,0.0072138387927861425
ico_end_weekday_cos,0.0053183658446816495
usa_restricted,0.003091645196908299
country,0.002760397497239553
ERC20,0.002741994847257978
ico_year,0.0024291497975708065
kyc,0.0023187338976812244
accept_only_BTC_ETH_LTC,0.0022451232977548363
bull_run_2017,0.0021899153478100453
whitelist,0.001895472948104493
accept_fiat,0.0013617960986381794
link_white_paper_flag,0.0012697828487301943
mvp,0.0011777695988222092
github_link_flag,0.001012145748987836
whitelist_missing,0.0005888847994111046
crash_2018,0.0004600662495399255
website_flag,0.0002760397497239553
ERC20_missing,3.680529996319404e-05
