,0
rating,0.1339528892160471
days_since_start,0.09801251380198747
fundraising_duration_days,0.03202061096797938
teamsize,0.02889216047110782
linkedin_link_flag,0.026223776223776196
price_usd_converted,0.021954361428045632
bonus,0.017261685682738316
distributed_in_ico,0.015623849834376114
ico_end_month_sin,0.01396761133603237
ico_end_weekday_sin,0.013029076186970912
ico_end_month_cos,0.012550607287449389
min_investment_usd_converted,0.011538461538461553
cryptocurrencies_accepted,0.01048951048951049
ico_end_weekday_cos,0.010195068089804915
github_link_flag,0.0087780640412219
total_restricted_areas,0.0053367684946632465
ico_year,0.005281560544718444
whitelist_missing,0.005115936694884082
has_pre_ico,0.005097534044902485
bull_run_2017,0.004747883695252131
mvp,0.004416635995583384
kyc,0.0042326094957673924
top_5_countries,0.0040485829959514
country,0.0029996319470003254
usa_restricted,0.002926021347073926
accept_only_BTC_ETH_LTC,0.002723592197276359
link_white_paper_flag,0.0023003312476996274
accept_fiat,0.0021715126978284482
whitelist,0.002024291497975672
ERC20,0.0015458225984541496
website_flag,0.0002944423997055523
ERC20_missing,0.0
crash_2018,-0.00022083179977916423
