model,best_params,roc_auc,pr_auc,f1,precision,recall,tn,fp,fn,tp
LogisticRegression,{'model__C': 0.1},0.7921055805969026,0.6870098392108963,0.5763779527559055,0.6813104988830976,0.49945414847161573,3174,428,917,915
RandomForest,"{'model__max_depth': 10, 'model__n_estimators': 200}",0.9586325767586663,0.9255757464879824,0.7633784655061251,0.9322834645669291,0.6462882096069869,3516,86,648,1184
XGBoost,"{'model__learning_rate': 0.1, 'model__n_estimators': 100}",0.9491643561679707,0.9103984806264981,0.7889190003011142,0.8797850906648758,0.7150655021834061,3423,179,522,1310
